institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_speciesKey,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber,File,month
UCSB,51523,0,49804,48006,50430,51523,0,0,0,51300,0,0,51178,51044,50146,33722,33722,33722,2675,171,45240,461,2940,50779,49486,43994,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UCSC,13235,0,4315,0,12231,13235,0,0,0,13074,0,0,13216,13109,13097,8249,8249,8249,2419,0,4414,491,613,13203,12818,13050,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UD,64,64,64,0,63,64,0,0,0,32,0,0,64,64,64,64,64,64,0,0,0,63,64,57,64,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UF,31147,31147,31144,31136,7488,31147,0,0,0,31078,31129,280,31099,30762,28991,28032,28032,28032,0,0,1,0,0,28750,240,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UHIM,43,43,43,0,10,43,0,0,0,22,0,0,40,40,32,0,0,0,0,0,43,0,0,39,40,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UHM,2252,2252,2252,0,1429,2252,0,0,0,0,0,0,2125,0,0,2151,2151,2151,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UMD,49190,49190,49190,0,48370,49190,0,0,0,19737,0,0,49170,48974,48819,2720,2720,2720,0,0,0,23238,43334,49189,49056,47837,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UMMP,5,5,5,0,0,5,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UMMZ,16,16,16,16,15,16,0,0,0,15,0,15,15,10,0,3,3,3,0,0,0,0,0,14,1,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UMNH,2,2,2,2,1,2,0,0,0,2,0,0,2,2,2,2,2,2,0,0,0,0,0,2,2,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
University of Rochester,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UNM,128415,128415,121532,122407,125565,128415,0,0,0,124472,2,2,128301,128285,128082,73186,73186,73186,77009,0,117067,32040,45410,128239,123966,124340,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UOBS,890,890,890,0,887,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UOMNH,18705,18705,18703,15667,3856,18705,0,0,0,8454,9739,17722,17682,16758,12535,1011,1011,1011,0,0,969,0,10610,15993,382,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
US,3297888,3297888,3014967,21193,3071334,3297888,0,0,0,3042982,3293016,2945935,3288517,2589385,432766,550555,550555,550555,21212,16048,2569130,0,441407,3285614,2998260,3273716,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA003,10397,10397,10397,0,10104,10397,0,0,0,2350,0,0,8563,0,0,958,958,958,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA004,5823,5823,5823,0,5709,5823,0,0,0,3095,0,0,5552,0,0,2897,2897,2897,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA005,14674,14674,14674,0,14311,14674,0,0,0,241,0,0,9499,0,0,48,48,48,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA007,41,41,41,0,37,41,0,0,0,41,0,0,41,0,0,41,41,41,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA016,49784,49784,49784,0,48703,49784,0,0,0,21452,0,0,46097,0,0,7250,7250,7250,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA020,35876,35876,35876,0,34972,35876,0,0,0,16581,0,0,33377,0,0,8768,8768,8768,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA022,66656,66656,66656,0,63059,66656,0,0,0,35553,0,0,60293,0,0,16865,16865,16865,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA026,14341,14341,14341,0,12739,14341,0,0,0,4727,0,0,12691,0,0,4457,4457,4457,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA029,42197,42197,42197,0,38983,42197,0,0,0,17520,0,0,35512,0,0,18306,18306,18306,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA033,8361,8361,8361,0,8360,8361,0,0,0,2367,0,0,7472,0,0,927,927,927,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA042,881,881,881,0,830,881,0,0,0,292,0,0,844,0,0,115,115,115,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA047,4850,4850,4850,0,3838,4850,0,0,0,465,0,0,3813,0,0,37,37,37,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA049,7447,7447,7447,0,7420,7447,0,0,0,1205,0,0,5718,0,0,282,282,282,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA074,1909,1909,1909,0,1862,1909,0,0,0,58,0,0,1596,0,0,31,31,31,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA108,1009,1009,1009,0,881,1009,0,0,0,31,0,0,609,0,0,2,2,2,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA133,3606,3606,3606,0,3574,3606,0,0,0,122,0,0,259,0,0,119,119,119,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA134,241,241,241,0,241,241,0,0,0,98,0,0,224,0,0,27,27,27,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA148,2923,2923,2923,0,2266,2923,0,0,0,20,0,0,1541,0,0,6,6,6,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA151,3535,3535,3535,0,3279,3535,0,0,0,1241,0,0,1813,0,0,796,796,796,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA167,8193,8193,8193,0,7010,8193,0,0,0,4563,0,0,6993,0,0,3847,3847,3847,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA174,3760,3760,3760,0,3760,3760,0,0,0,0,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA176,2106,2106,2106,0,2100,2106,0,0,0,830,0,0,1996,0,0,43,43,43,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA200,1484,1484,1484,0,1046,1484,0,0,0,19,0,0,1210,0,0,2,2,2,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA390,6215,6215,6215,0,4816,6215,0,0,0,899,0,0,5309,0,0,485,485,485,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA476,39,39,39,0,39,39,0,0,0,39,0,0,39,0,0,39,39,39,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA559,420,420,420,0,387,420,0,0,0,142,0,0,369,0,0,161,161,161,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA937,2542,2542,2542,0,2542,2542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA955,1683,1683,1683,0,1604,1683,0,0,0,1181,0,0,1634,0,0,355,355,355,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA956,3981,3981,3981,0,2892,3981,0,0,0,1407,0,0,3116,0,0,730,730,730,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA962,510,510,510,0,510,510,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA970,4621,4621,4621,0,4618,4621,0,0,0,14,0,0,3819,0,0,106,106,106,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USA971,2577,2577,2577,0,2350,2577,0,0,0,1654,0,0,2363,0,0,23,23,23,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USCH,113485,109501,70754,0,109794,113485,0,0,0,105158,0,0,111851,111306,105794,28674,28674,28674,819,0,64742,669,107811,112164,105393,89175,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USF,227346,227346,227346,0,222666,227346,0,0,227346,216250,227133,0,227099,221584,191237,36898,36898,36898,36623,0,227346,64453,108838,227257,225599,226730,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USNM,36063,36063,36062,3958,17963,36063,0,0,0,4,11591,14,11572,11094,2286,0,0,0,0,0,126,0,9856,5043,3940,145,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
USU,165201,165201,164981,11,161498,165201,0,0,0,150657,0,0,164672,161562,146223,72479,72479,72479,35156,0,82775,24768,60311,160640,149019,143691,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UTAH,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UTC,2959,2959,2959,2,2021,2959,0,0,0,2900,0,0,2959,2724,2429,1604,1604,1604,84,0,27,133,279,2957,2464,1520,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UTEP,82570,82570,82570,82570,79801,82570,0,0,0,82570,82570,82269,82554,81572,74290,34772,34772,34772,0,0,290,67741,82570,82568,82570,68167,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UTEX,1916,0,1916,1911,968,1916,0,0,0,0,0,1473,1476,1035,0,0,0,0,0,0,0,0,0,1564,0,1261,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UTKH,481,481,481,0,438,481,0,0,0,480,0,0,0,440,419,0,0,0,0,0,0,0,0,478,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UWBM,297160,297160,297160,0,278692,297160,0,0,0,297055,15,3,296277,295382,243202,145773,145773,145773,1,0,0,86184,162452,297119,293499,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UWYMED,3,3,3,3,0,3,0,0,0,3,0,0,3,3,3,3,3,3,0,0,0,0,3,3,3,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
VMNH,4,4,4,0,0,4,0,0,0,4,4,4,4,4,4,0,0,0,0,0,4,0,4,4,4,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
VPI,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
VT,287545,0,287542,7,120716,287545,0,0,0,41117,0,0,280779,121508,74783,93109,93109,93109,8057,8,280666,9378,20546,78659,84171,65879,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
WCUH,28018,5769,28017,0,27676,28018,0,0,0,6478,0,0,27801,28000,27731,3179,3179,3179,3485,0,20979,285,639,5362,6350,6280,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
WOH,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
WSCO,4178,0,4055,0,4058,4178,0,0,0,4050,0,0,4168,4140,4011,2076,2076,2076,2120,0,0,593,3453,4158,4135,3649,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
YPM,235890,235890,235890,6609,136484,235890,0,0,0,108712,167784,166878,167645,163006,137752,122502,122502,122502,7718,23,145935,2792,7531,154518,121068,46786,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NA,111964,1779,111843,1116,110716,111964,346,0,0,110063,943,1554,111676,111238,108145,110708,110708,110708,544,0,0,5,26,2261,110203,1506,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
A,246486,246486,246486,NA,223533,246486,NA,0,NA,225281,208741,NA,236574,NA,NA,NA,NA,54149,NA,NA,129829,26904,10932,245322,174846,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
AMES,51297,51297,51297,NA,48026,51297,NA,0,NA,46916,50126,NA,48614,NA,NA,NA,NA,1170,NA,NA,43752,13241,4172,49672,44208,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
AMNH,82,77,82,NA,39,82,NA,0,NA,70,0,NA,76,NA,NA,NA,NA,4,NA,NA,1,53,54,74,0,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
ANSP,3,3,3,NA,1,3,NA,0,NA,1,0,NA,2,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
ASU,369412,250729,230302,NA,343503,369412,NA,0,NA,357734,0,NA,368492,NA,NA,NA,NA,313119,NA,NA,131354,39166,212892,368826,358762,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
BABY,11427,11427,11427,NA,11375,11427,NA,11382,NA,11381,0,NA,11425,NA,NA,NA,NA,11368,NA,NA,0,7003,11356,11427,11374,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
BEREA,24281,0,24281,NA,24228,24281,NA,0,NA,1983,0,NA,24232,NA,NA,NA,NA,14,NA,NA,23454,1,45,2017,1993,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
BHSC,15242,15242,15242,NA,15230,15242,NA,0,NA,15153,0,NA,15242,NA,NA,NA,NA,10239,NA,NA,15074,833,2648,15242,15006,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
BISON,706,706,24,NA,703,706,NA,0,NA,0,0,NA,706,NA,NA,NA,NA,706,NA,NA,677,0,0,706,706,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
BOON,16127,0,15276,NA,15785,16127,NA,0,NA,5551,0,NA,15964,NA,NA,NA,NA,3592,NA,NA,11436,193,695,5889,5855,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
BPBM,421066,421066,421066,NA,362822,421066,NA,0,NA,413793,311397,NA,412543,NA,NA,NA,NA,83855,NA,NA,0,174676,272271,417353,384996,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
BPI,4,4,4,NA,4,4,NA,0,NA,3,0,NA,4,NA,NA,NA,NA,0,NA,NA,0,0,0,3,0,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
BRFC,623,623,623,NA,612,623,NA,0,NA,623,0,NA,623,NA,NA,NA,NA,431,NA,NA,0,0,0,623,623,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
BRIT,19346,19346,19346,NA,13209,19346,NA,0,NA,31,0,NA,17358,NA,NA,NA,NA,10374,NA,NA,0,13502,13671,17822,17234,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
BRU,15388,0,15388,NA,14309,15388,NA,0,NA,5289,0,NA,14340,NA,NA,NA,NA,14295,NA,NA,15365,0,199,14012,8909,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
BUF,56258,56258,56258,NA,46172,56258,NA,0,NA,56095,56225,NA,46153,NA,NA,NA,NA,0,NA,NA,0,2417,5132,43305,42669,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
BUT,43801,43801,43801,NA,43360,43801,NA,0,NA,41674,0,NA,43801,NA,NA,NA,NA,0,NA,NA,0,0,3725,43734,42373,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
BYU,36,36,36,NA,0,36,NA,0,NA,36,0,NA,36,NA,NA,NA,NA,35,NA,NA,0,0,0,35,32,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
CAMU,346,346,346,NA,346,346,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
CAS,595732,595732,595732,NA,571333,595732,NA,0,NA,595685,595028,NA,594726,NA,NA,NA,NA,121184,NA,NA,15807,162666,172584,594970,587761,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
CHAS,166,166,166,NA,148,166,NA,0,NA,166,166,NA,162,NA,NA,NA,NA,59,NA,NA,33,68,166,166,166,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
CHRB,101011,16,101010,NA,92011,101011,NA,0,NA,31139,0,NA,80819,NA,NA,NA,NA,5186,NA,NA,83736,6330,10040,47741,40017,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
CHSC,102724,102724,102724,NA,101410,102724,NA,0,NA,102284,0,NA,102652,NA,NA,NA,NA,84836,NA,NA,22954,10465,33767,102412,102146,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
CM,10,10,10,NA,2,10,NA,0,NA,10,7,NA,9,NA,NA,NA,NA,0,NA,NA,2,2,2,9,10,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
CMC,22003,1873,22003,NA,20021,22003,NA,0,NA,20454,0,NA,21448,NA,NA,NA,NA,5338,NA,NA,19871,10643,10998,20442,19910,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
CMNH,129,129,129,NA,14,129,NA,0,NA,94,0,NA,126,NA,NA,NA,NA,0,NA,NA,0,0,0,72,0,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
COA,1,1,1,NA,1,1,NA,0,NA,1,1,NA,1,NA,NA,NA,NA,0,NA,NA,0,1,1,1,1,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
COLO,343804,343804,343804,NA,335581,343804,NA,0,NA,232197,0,NA,342843,NA,NA,NA,NA,125729,NA,NA,337304,70065,100113,284313,228103,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
CS,57350,57350,57350,NA,57221,57350,NA,0,NA,57339,0,NA,57350,NA,NA,NA,NA,54877,NA,NA,0,0,5611,56115,0,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
CSLA,6113,0,6113,NA,6022,6113,NA,0,NA,6059,0,NA,5958,NA,NA,NA,NA,761,NA,NA,6113,78,321,6082,5973,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
CSU,9916,9916,9916,NA,9815,9916,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
DAV,137775,26925,36926,NA,132374,137775,NA,0,NA,137683,0,NA,137746,NA,NA,NA,NA,103667,NA,NA,32985,922,59509,137765,132048,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
DBG,91458,91458,85719,NA,83426,91458,NA,0,NA,84470,0,NA,87953,NA,NA,NA,NA,73598,NA,NA,83119,8028,18130,89067,88786,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
DES,90488,0,88338,NA,88055,90488,NA,0,NA,87246,0,NA,90089,NA,NA,NA,NA,86067,NA,NA,78086,9589,18983,90460,89594,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
DMNS,11,11,11,NA,1,11,NA,0,NA,7,3,NA,7,NA,NA,NA,NA,5,NA,NA,0,3,11,10,5,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
DUKE,282244,0,281520,NA,266436,282244,NA,0,NA,281253,0,NA,281440,NA,NA,NA,NA,148602,NA,NA,8731,6660,139227,281785,242019,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
ECON,6169,6169,6169,NA,5889,6169,NA,0,NA,6019,6162,NA,6115,NA,NA,NA,NA,53,NA,NA,5371,442,233,6120,3906,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
ECU,2436,2436,2436,NA,2380,2436,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
EKY,80694,0,77126,NA,80199,80694,NA,0,NA,75931,0,NA,80682,NA,NA,NA,NA,6686,NA,NA,74962,1952,13845,80483,78698,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
ENLC,3,3,3,NA,3,3,NA,0,NA,3,0,NA,3,NA,NA,NA,NA,3,NA,NA,3,3,3,3,3,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
F,997025,997025,815981,NA,892225,997025,NA,0,NA,331245,654704,NA,962091,NA,NA,NA,NA,810528,NA,NA,753934,115569,172831,776659,679332,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
FH,235586,235586,235586,NA,223111,235586,NA,0,NA,232519,234388,NA,230989,NA,NA,NA,NA,3640,NA,NA,152932,6968,6881,233603,201992,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
FLAS,100576,0,100576,NA,96658,100576,NA,0,NA,0,0,NA,100443,NA,NA,NA,NA,20995,NA,NA,75656,0,0,100575,98800,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
FMNH,23345,23345,23344,NA,2347,23345,NA,0,NA,0,23344,NA,23280,NA,NA,NA,NA,0,NA,NA,11061,0,16549,1902,730,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
FSC,14800,0,14800,NA,14572,14800,NA,0,NA,9175,0,NA,13564,NA,NA,NA,NA,1945,NA,NA,13249,856,3234,9279,8945,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
FTG,78186,78186,78186,NA,72996,78186,NA,0,NA,27941,0,NA,77640,NA,NA,NA,NA,10612,NA,NA,0,0,0,70184,76529,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
GH,603888,603888,603888,NA,590634,603888,NA,0,NA,571695,592826,NA,584096,NA,NA,NA,NA,8650,NA,NA,522881,67724,16844,600580,284975,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
GMDRC,4,4,4,NA,4,4,NA,0,NA,4,0,NA,4,NA,NA,NA,NA,4,NA,NA,4,0,4,4,4,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
GMNH,175,175,159,NA,0,175,NA,0,NA,174,0,NA,175,NA,NA,NA,NA,126,NA,NA,0,0,0,175,173,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
GUAM,595,595,595,NA,0,595,NA,0,NA,592,0,NA,580,NA,NA,NA,NA,242,NA,NA,0,7,2,434,570,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
haw,1,1,1,NA,1,1,NA,0,NA,1,0,NA,1,NA,NA,NA,NA,1,NA,NA,0,0,1,1,1,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
HWML,80,80,80,NA,2,80,NA,0,NA,80,0,NA,75,NA,NA,NA,NA,72,NA,NA,0,0,80,80,8,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
INHS,56,56,56,NA,16,56,NA,0,NA,56,0,NA,56,NA,NA,NA,NA,49,NA,NA,0,0,6,0,51,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
JFBM,1,1,1,NA,0,1,NA,0,NA,1,0,NA,1,NA,NA,NA,NA,1,NA,NA,0,0,0,1,1,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
KHD,1,1,1,NA,1,1,NA,0,NA,1,0,NA,1,NA,NA,NA,NA,0,NA,NA,1,0,0,1,1,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
KNWR,2497,2497,2497,NA,2303,2497,NA,0,NA,2497,2497,NA,2497,NA,NA,NA,NA,2497,NA,NA,151,1761,2497,1709,2497,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
KSP,22819,214,16252,NA,22310,22819,NA,0,NA,21899,0,NA,22802,NA,NA,NA,NA,10865,NA,NA,0,1470,2436,22810,19073,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
KSTC,50877,50877,50822,NA,46904,50877,NA,0,NA,50498,0,NA,48551,NA,NA,NA,NA,22569,NA,NA,0,0,38196,50510,50211,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
KU,395584,395584,395576,NA,323483,395584,NA,0,NA,387580,387167,NA,379601,NA,NA,NA,NA,292402,NA,NA,95553,0,246249,373250,325987,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
LACM,187,187,187,NA,1,187,NA,0,NA,187,187,NA,187,NA,NA,NA,NA,181,NA,NA,17,112,187,183,127,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
LOB,15595,0,14107,NA,14503,15595,NA,0,NA,15489,0,NA,15414,NA,NA,NA,NA,8761,NA,NA,14093,290,1097,15350,14985,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
Logan,3,3,3,NA,3,3,NA,0,NA,0,0,NA,3,NA,NA,NA,NA,0,NA,NA,3,0,0,0,0,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
LSU,163406,163406,163406,NA,161038,163406,NA,0,NA,159710,0,NA,161772,NA,NA,NA,NA,57400,NA,NA,0,52585,65362,161780,155045,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
LSUM,17465,17465,17465,NA,9200,17465,NA,0,NA,17183,0,NA,17282,NA,NA,NA,NA,16671,NA,NA,0,370,5536,17302,17090,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
MACF,5431,0,4837,NA,5374,5431,NA,0,NA,4931,0,NA,5411,NA,NA,NA,NA,216,NA,NA,4837,660,1293,5399,5330,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
MCZ,8,8,8,NA,4,8,NA,0,NA,7,7,NA,7,NA,NA,NA,NA,5,NA,NA,0,0,8,8,3,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
MICH,940377,940377,940377,NA,824607,940377,NA,0,NA,940377,0,NA,907288,NA,NA,NA,NA,300052,NA,NA,461573,129880,236026,925141,841184,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
MIN,537492,537492,536206,NA,523616,537492,NA,0,NA,388918,0,NA,459568,NA,NA,NA,NA,225430,NA,NA,293092,19760,33991,456546,380475,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july
